ESTACION;FECHA;HORA_LOCAL;TEMPERATURA (C);HUMEDAD RELATIVA (%);PRESION ESTACION (hPa)
10100;31/12/2020;21;21.1;54;956.6
10100;31/12/2020;22;18;68;957.3
10100;31/12/2020;23;19.4;54;957.7
10100;01/01/2021;0;18.7;55;957.8
10100;01/01/2021;1;17;66;957.4
10100;01/01/2021;2;18.5;55;956.9
10100;01/01/2021;3;17;61;956.2
10100;01/01/2021;4;18.2;56;955.8
10100;01/01/2021;5;18.2;44;956.1
10100;01/01/2021;6;15.8;68;956.8
10100;01/01/2021;7;15.5;71;957.4
10100;01/01/2021;8;20.4;57;957.8
10100;01/01/2021;9;23.5;43;957.7
10100;01/01/2021;10;25.2;40;957.6
10100;01/01/2021;11;26.4;38;957.4
10100;01/01/2021;12;27.9;38;957.2
10100;01/01/2021;13;29.4;36;956.8
10100;01/01/2021;14;30.4;35;956.6
10100;01/01/2021;15;30.5;34;956.4
10100;01/01/2021;16;30.2;35;956
10100;01/01/2021;17;30.3;33;955.4
10100;01/01/2021;18;30;33;955.3
10100;01/01/2021;19;28.4;38;955.6
10100;01/01/2021;20;26.5;42;956.8
10100;01/01/2021;21;24.9;46;957.8
10100;01/01/2021;22;21.1;64;958.9
10100;01/01/2021;23;21.5;62;959.4
10100;02/01/2021;0;20.5;64;959.3
10100;02/01/2021;1;20.5;62;958.9
10100;02/01/2021;2;19.4;70;958.4
10100;02/01/2021;3;17.9;79;957.8
10100;02/01/2021;4;18.9;78;957.4
10100;02/01/2021;5;21.1;60;957.4
10100;02/01/2021;6;19.6;70;957.7
10100;02/01/2021;7;19.3;69;958.1
10100;02/01/2021;8;22.1;61;958.2
10100;02/01/2021;9;23.3;53;958.6
10100;02/01/2021;10;25;45;958
10100;02/01/2021;11;26.2;41;957.8
10100;02/01/2021;12;27.9;42;957.3
10100;02/01/2021;13;28.7;41;956.6
10100;02/01/2021;14;29.4;38;956
10100;02/01/2021;15;30.5;36;955
10100;02/01/2021;16;31.7;35;953.8
10100;02/01/2021;17;30.5;35;953
10100;02/01/2021;18;31;33;952.1
10100;02/01/2021;19;29.9;33;952.1
10100;02/01/2021;20;28.1;36;952.5
10100;02/01/2021;21;26.5;40;952.9
10100;02/01/2021;22;24.5;46;953.3
10100;02/01/2021;23;23.1;56;953.6
10100;03/01/2021;0;22.5;58;953.8
10100;03/01/2021;1;23.3;63;954
10100;03/01/2021;2;21.3;82;954.6
10100;03/01/2021;3;20.1;87;955.2
10100;03/01/2021;4;19.6;88;956
